Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time
2015-02-08,Bike Bike,Abs,0.0,20,,,
2015-09-08,Barbell Row,Back,0.0,5,,,
2015-09-08,Barbell Row,Back,50.0,10,,,
2015-09-08,Pull Up,Back,0.0,8,,,
2015-09-08,Pull Up,Back,0.0,7,,,
2015-09-08,Barbell Row,Back,90.0,9,,,
2015-09-08,Pull Up,Back,0.0,6,,,
2015-09-08,Barbell Row,Back,50.0,9,,,
2015-09-08,Barbell Row,Back,70.0,9,,,
2015-09-08,Barbell Row,Back,90.0,9,,,
2015-09-08,Deadlift,Back,90.0,5,,,
2015-09-08,Deadlift,Back,140.0,3,,,
2015-09-08,Deadlift,Back,140.0,3,,,
2015-09-08,Deadlift,Back,90.0,5,,,
2015-09-09,Flat Barbell Bench Press,Chest,0.0,5,,,
2015-09-09,Flat Barbell Bench Press,Chest,50.0,5,,,
2015-09-09,Flat Barbell Bench Press,Chest,70.0,5,,,
2015-09-09,Flat Barbell Bench Press,Chest,90.0,5,,,
2015-09-09,Flat Dumbbell Bench Press,Chest,80.0,5,,,
2015-09-09,Flat Barbell Bench Press,Chest,70.0,5,,,
2015-09-09,Flat Barbell Bench Press,Chest,100.0,5,,,
